id,track_name,n_citacoes,size_bytes,price,prime_genre
302584613,"Kindle – Read eBooks, Magazines & Textbooks",3954,169747456,0.0,Book
379693831,"Audible – audio books, original series & podcasts",1118,81558528,0.0,Book
1031002863,Color Therapy Adult Coloring Book for Adults,28,135236608,0.0,Book
366869252,OverDrive – Library eBooks and Audiobooks,805,39844864,0.0,Book
1024818709,HOOKED - Chat Stories,0,94545920,0.0,Book
476508724,A Charlie Brown Christmas + iMessage Sticker Pack!,0,121874432,5.99,Book
876336838,喜马拉雅FM（听书社区）电台有声小说相声英语,0,130731008,0.0,Book
444553118,Jesus Calling Devotional by Sarah Young,3,125770752,9.99,Book
906936224,快看漫画,25,63058944,0.0,Book
1061132313,CHOMP by Christoph Niemann,0,49474560,1.99,Book
284035177,Pandora - Music & Radio,2533,130242560,0.0,Music
324684580,Spotify Music,188780,132510720,0.0,Music
284993459,"Shazam - Discover music, artists, videos & lyrics",8012,147093504,0.0,Music
290638154,iHeartRadio – Free Music & Radio Stations,2221,116443136,0.0,Music
336353151,SoundCloud - Music & Audio,44600,105009152,0.0,Music
421254504,Magic Piano by Smule,7,55030784,0.0,Music
509993510,Smule Sing!,2848,109940736,0.0,Music
418987775,TuneIn Radio - MLB NBA Audiobooks Podcasts Music,6195,101735424,0.0,Music
510855668,Amazon Music,3037,77778944,0.0,Music
355554941,SoundHound Song Search & Music Player,70,70516736,0.0,Music
